,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,26486000000.0,24405000000.0,20881000000.0,26995000000.0,23903000000.0,,
Repurchase Of Capital Stock,-20132000000.0,-21075000000.0,-25898000000.0,-23606000000.0,-25083000000.0,,
Repayment Of Debt,-1185000000.0,-1770000000.0,976000000.0,-8953000000.0,427000000.0,,
Issuance Of Debt,0.0,,,,0.0,,
Capital Expenditure,-3242000000.0,-3462000000.0,-3071000000.0,-2940000000.0,-2908000000.0,,
Income Tax Paid Supplemental Data,6037000000.0,5649000000.0,13032000000.0,18651000000.0,6872000000.0,,
End Cash Position,35934000000.0,36269000000.0,28162000000.0,30299000000.0,29943000000.0,,
Beginning Cash Position,36269000000.0,28162000000.0,30299000000.0,29943000000.0,26635000000.0,,
Changes In Cash,-335000000.0,8107000000.0,-2137000000.0,356000000.0,3308000000.0,,
Financing Cash Flow,-27476000000.0,-24833000000.0,-29006000000.0,-39371000000.0,-24948000000.0,,
Cash Flow From Continuing Financing Activities,-27476000000.0,-24833000000.0,-29006000000.0,-39371000000.0,-24948000000.0,,
Net Other Financing Charges,-265000000.0,-2524000000.0,-326000000.0,-2956000000.0,-448000000.0,,
Cash Dividends Paid,-3862000000.0,-3945000000.0,-3758000000.0,-3856000000.0,-3804000000.0,,
Common Stock Dividend Paid,-3862000000.0,-3945000000.0,-3758000000.0,-3856000000.0,-3804000000.0,,
Net Common Stock Issuance,-20132000000.0,-21075000000.0,-25898000000.0,-23606000000.0,-25083000000.0,,
Common Stock Payments,-20132000000.0,-21075000000.0,-25898000000.0,-23606000000.0,-25083000000.0,,
Net Issuance Payments Of Debt,-3217000000.0,2711000000.0,976000000.0,-8953000000.0,4387000000.0,,
Net Short Term Debt Issuance,-1967000000.0,3903000000.0,3976000000.0,-7944000000.0,6945000000.0,,
Short Term Debt Payments,,3903000000.0,3976000000.0,-7944000000.0,,997000000.0,2000000.0
Net Long Term Debt Issuance,-1250000000.0,-1192000000.0,-3000000000.0,-1009000000.0,-2558000000.0,,
Long Term Debt Payments,-1250000000.0,-5673000000.0,-3000000000.0,-1009000000.0,-2558000000.0,,
Long Term Debt Issuance,0.0,,,,0.0,,
Investing Cash Flow,-2587000000.0,5073000000.0,2917000000.0,9792000000.0,1445000000.0,,
Cash Flow From Continuing Investing Activities,-2587000000.0,5073000000.0,2917000000.0,9792000000.0,1445000000.0,,
Net Other Investing Changes,-505000000.0,-340000000.0,-32000000.0,-603000000.0,-191000000.0,,
Net Investment Purchase And Sale,1160000000.0,8875000000.0,6020000000.0,13335000000.0,4544000000.0,,
Sale Of Investment,7976000000.0,14024000000.0,12338000000.0,19459000000.0,15126000000.0,,
Purchase Of Investment,-6816000000.0,-5149000000.0,-6318000000.0,-6124000000.0,-10582000000.0,,
Net PPE Purchase And Sale,-3242000000.0,-3462000000.0,-3071000000.0,-2940000000.0,-2908000000.0,,
Purchase Of PPE,-3242000000.0,-3462000000.0,-3071000000.0,-2940000000.0,-2908000000.0,,
Operating Cash Flow,29728000000.0,27867000000.0,23952000000.0,29935000000.0,26811000000.0,,
Cash Flow From Continuing Operating Activities,29728000000.0,27867000000.0,23952000000.0,29935000000.0,26811000000.0,,
Change In Working Capital,-5707000000.0,-2034000000.0,-6507000000.0,-10752000000.0,6608000000.0,,
Change In Other Current Liabilities,4085000000.0,418000000.0,-3581000000.0,-11998000000.0,15550000000.0,,
Change In Other Current Assets,-3081000000.0,-1745000000.0,-5310000000.0,939000000.0,-6105000000.0,,
Change In Payables And Accrued Expense,19381000000.0,-3875000000.0,-7933000000.0,-6671000000.0,21191000000.0,,
Change In Payable,19381000000.0,-3875000000.0,-7933000000.0,-6671000000.0,21191000000.0,,
Change In Account Payable,19381000000.0,-3875000000.0,-7933000000.0,-6671000000.0,21191000000.0,,
Change In Inventory,177000000.0,365000000.0,643000000.0,215000000.0,-1087000000.0,,
Change In Receivables,-26269000000.0,2803000000.0,9674000000.0,6763000000.0,-22941000000.0,,
Changes In Account Receivables,-12367000000.0,-1581000000.0,3669000000.0,3597000000.0,-10485000000.0,,
Other Non Cash Items,1659000000.0,469000000.0,-208000000.0,-2009000000.0,-302000000.0,,
Stock Based Compensation,3183000000.0,3168000000.0,3226000000.0,3286000000.0,2858000000.0,,
Depreciation Amortization Depletion,3127000000.0,2830000000.0,2661000000.0,3080000000.0,2911000000.0,,
Depreciation And Amortization,3127000000.0,2830000000.0,2661000000.0,3080000000.0,2911000000.0,,
Net Income From Continuing Operations,27466000000.0,23434000000.0,24780000000.0,36330000000.0,14736000000.0,,
